latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
33.1044,-86.79557,300.1,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,275,0.5,N
33.09188,-86.80271,320.7,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,275.3,1.9,N
32.74072,-84.87241,302.9,0.43,0.38,2019-10-18,0736,N,nominal,1.0NRT,272.7,0.8,N
33.30534,-89.33858,298.4,0.4,0.37,2019-10-18,0736,N,nominal,1.0NRT,275.5,0.6,N
33.12294,-88.39394,307.9,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,277.1,1.3,N
32.77904,-88.47439,301.1,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,268,0.8,N
33.20039,-92.67649,296.3,0.54,0.42,2019-10-18,0736,N,nominal,1.0NRT,250.8,1.3,N
33.19999,-92.67842,298.3,0.54,0.42,2019-10-18,0736,N,nominal,1.0NRT,252.1,1.3,N
33.32256,-93.88573,302.4,0.41,0.45,2019-10-18,0736,N,nominal,1.0NRT,273.2,0.7,N
33.18933,-94.88222,317.5,0.47,0.47,2019-10-18,0736,N,nominal,1.0NRT,282.4,2.1,N
32.3126,-90.13656,309.8,0.42,0.37,2019-10-18,0736,N,nominal,1.0NRT,271.8,1.5,N
32.31198,-90.13214,295.3,0.42,0.37,2019-10-18,0736,N,nominal,1.0NRT,267.4,0.5,N
32.42929,-94.68288,304.3,0.45,0.47,2019-10-18,0736,N,nominal,1.0NRT,284.3,2.1,N
32.11008,-95.7678,298.8,0.51,0.49,2019-10-18,0736,N,nominal,1.0NRT,281.4,0.6,N
32.24525,-97.55223,299,0.32,0.55,2019-10-18,0736,N,nominal,1.0NRT,282.1,0.8,N
32.46433,-101.71426,296.1,0.57,0.69,2019-10-18,0736,N,nominal,1.0NRT,284.5,1,N
32.40567,-101.55046,307.4,0.56,0.69,2019-10-18,0736,N,nominal,1.0NRT,285.2,1,N
32.40419,-101.55106,306.4,0.56,0.69,2019-10-18,0736,N,nominal,1.0NRT,284.8,1,N
32.28761,-101.41972,297,0.55,0.68,2019-10-18,0736,N,nominal,1.0NRT,286.5,0.6,N
31.94325,-96.58312,295.6,0.57,0.52,2019-10-18,0736,N,nominal,1.0NRT,279.3,0.6,N
32.33344,-104.20273,296.5,0.79,0.78,2019-10-18,0736,N,nominal,1.0NRT,285.5,0.7,N
